Ulasan,Nilai,Kategori
daftar vaksin adik service login klik tombok vaksinasi suruh daftar wa wa suruh daftar service buka service error error njok masyarakat kon kepiye warga kecewa service mudah masyarakat sulit mohon baik sekian kritik moga lihat dengar laksana baik matur suwun,0.3256,Positif
cacat log out cape,-0.34,Negatif
chat cs layar putih doang sinyal bagus,0.4404,Positif
akun gagal foto ktp jjs,-0.5106,Negatif
kemarin daftar latih layan kel kec perlu halaman,0.0,Netral
tingkat,0.0,Netral
wilayah sleman akses kembangin,0.0,Netral
presensi online rakyat,0.0,Netral
error,-0.4019,Negatif
diupdate sulit bagus kmrin,0.1027,Positif
payah diupdate lag,-0.5994,Negatif
pilih bayar pilih pakai service cepat buang buang,-0.1027,Negatif
cctv mantau cowoku jalan selingkuh,-0.5574,Negatif
login wifi kot perintah kota kok,0.0,Netral
bad difficult login,-0.7184,Negatif
connect install ulang,0.0,Netral
layan ktp klik layan wa respon balai kota arah service error,-0.4019,Negatif
sulit masuk masuk ganti password baik layan pusing,-0.3612,Negatif
coba dululah,0.0,Netral
ktp hilang login swavideo ktp asli hilang coba ganti pakai login service aju ganti ktp allah,-0.3182,Negatif
cepat responnya,0.0,Netral
daftar vaksin bantu,0.0,Netral
lot parah daftar vaksin sulit,-0.6249,Negatif
sinyal,0.0,Netral
daftar isi data pas foto ktp putih ambil foto,0.0,Netral
tri krismilah,0.0,Netral
kecewa error pas klik daftar vaksin daftar masuk akun pas daftar akun klik kesal kira ngaruh jam,-0.8126,Negatif
wifi daerah rt rw jelek pakai,-0.5106,Negatif
daftar pas pegang ktp selfie loading hari prosesssss,0.0,Netral
bagus install sadar kota kecewa yaaaa,-0.0516,Negatif
daftar akun update sulit daftar akun weslah,-0.3612,Negatif
login daftar,0.0,Netral
ribet urus gampang dadi rumit ganti wae,0.4404,Positif
urus ktp tanggal juni tanggal juli proses ribet ribet proses,0.4939,Positif
masalah tanda jari muncul shg pegawai gagal finger kena potong tpp,-0.765,Negatif
doang bagus masalah,0.0516,Positif
wifinya conect muncul notifikasi situs sedia jaring aman,0.4404,Positif
sistem online mending jujur sulit proses simpel praktis ribet wa tugas ujung suruh isi ulang dasar negara berflower birokrasi ubah bintang serius blibet layan online coyy ngurusnya makan ati mending makan ati asli gawe dongkol,0.4215,Positif
oke,0.296,Positif
daftar gagal nik deteksi warga asli paksa install fungsi,-0.5106,Negatif
shortcut web adress arah browser,0.0,Netral
daftar foto ktp foto ktp nasional jenis peduli lindung swafoto ktp ragu perintah jaga data swafoto ktp salah salah aman data curi jadi pinjol jahat ramah privasi,-0.835,Negatif
sayang kota moga jangkau wilayah masuk dalam trimksih,0.4019,Positif
error absen pegawai,-0.4019,Negatif
offline,-0.128,Negatif
kirim file alias bug,0.0,Netral
mara emosi lot servernya upload selesai niat server,0.0,Netral
alah ribet,0.0,Netral
layan belit belit plinplan,0.0,Netral
verifikasi gagal,-0.5106,Negatif
sulit urus online kasihan orang hp capil suruh download buka mudah sulit buka tabnya warna putih pegawai perintah mohon sulit,-0.5423,Negatif
bantu payah,0.0516,Positif
gagal akun ktp perintah lucu,-0.1027,Negatif
lambat error,-0.4019,Negatif
mutu,0.0,Netral
cctv buka barusaja baru,0.0,Netral
masuk kadang kadang baik,0.4404,Positif
arah daftar vaksin pemberitahuan sms pemberitahuan sore vaksin siang jadwal ulang vaksin batal tiket vaksin respon minggu vaksin direspon,-0.25,Negatif
moga,0.0,Netral
daftar login sulit data sesuai kartu identitas,-0.3612,Negatif
akses error kecewa,-0.7003,Negatif
masuk wifi perintah kota mental,0.0,Netral
lek tulong daftar link bar klik loading gaiso login njuk nek arep urus opo login njuk menginstal gunane kur ngebaki memori,0.0,Netral
server perintah error bug programer bug hunter hacker colong data,-0.4019,Negatif
gila parah daftar urus ubah data coba kali pakai wifi parah balkot pakai service astagaa kelar urus,-0.8555,Negatif
kecewa asli orang pas daftar nik orang,-0.4767,Negatif
trouble sempurna,0.25,Positif
jelek troble service perintah kota kes paksa infrastruktur dukung kualitas sdm kembang awat mumpuni bidang saran perintah fokus skill alam terampil rekrut sdm cumua ijasah test tulis teori praktek beda perintah kota kaca negri fokus ijasah skill,-0.2732,Negatif
ngebantu login linknya ajha sulit tulis salah buka apliaksi baik mudah masyarakat service ujung balkot,0.4404,Positif
payah sulit login,-0.1027,Negatif
proses,0.0,Netral
rusak,-0.4767,Negatif
sip,0.0,Netral
bagus,0.4404,Positif
coba isi upload berkas sinyal gagal sambung cacat sinyal aman,-0.5106,Negatif
jafar nurrohman tunanetra mohon maaf service tunanetra bantu fitur fitur buka layan harap jadi pirsa mohon baik sempurna,0.8534,Positif
gakk terusss,0.0,Netral
daftar putar masuk parah jelekny,-0.7506,Negatif
diinstal sulit bolak menu terinstal muncul layar hp,-0.3612,Negatif
daftar ktp direct website website arah daftar via mubeng jal,0.0,Netral
akun putar mohon baik apa biar proses daftar cepat pakai mending pakai wa kaya kemarin,0.765,Positif
service connect,0.0,Netral
daftar suruh login aneh baik,-0.1779,Negatif
bosok daftar sulit,0.1779,Positif
lihat full balas,0.0,Netral
urus akta mati sulit langsung dukcapil suruh daftar service mau service bayar gih developer biar kerja,-0.5106,Negatif
robot lansia monggo baik cs hubung,0.2732,Positif
pas masuk verifikasi,0.0,Netral
stop working tablet lenovo,-0.296,Negatif
daftar sulit putar menu utama,-0.34,Negatif
mosok warga kota daftar ortu tinggal kota periksa puskesmas kota,0.0,Netral
update data kawin allah coba masuk foto pusing aing,0.0,Netral
masuk sulit rumit akun usser password salah kecewa,-0.8271,Negatif
login,0.0,Netral
baik sistem tahap daftar trouble,0.0516,Positif
error,-0.4019,Negatif
service carane,0.0,Netral
bagus pakai wifi,0.4404,Positif
lambat,0.0,Netral
akun cek pbb sleman kirain provinsi batas kota doang mending langsung cek commerce,0.0,Netral
daftar ulang daftar,0.0,Netral
bagus jelek reset password,-0.1531,Negatif
aplikasibagus city baik salah contoh akses cctv akses,-0.4767,Negatif
daftar suruh aktivasi ulang kirim pesan operator online responnya tunggu acc niat,0.0,Netral
play cctv coba ganti titik cctv error video can played baik terima kasih,0.6908,Positif
bantu,0.0,Netral
bantu warga jogya,0.4019,Positif
bintang daftar vaksin pakai juli oktober,0.0,Netral
sulit live cctv berat data live,-0.1027,Negatif
lapor ganggu pdam,-0.3818,Negatif
ikut rating jelek,-0.5423,Negatif
lag wifi,-0.34,Negatif
sulit daftar jjs,-0.3612,Negatif
oke,0.296,Positif
bagus muas akses layan tolak warga warga datang cabut berkas daerah warga akses layan akte lahir sulit kandung lampir surat kuasa upgrate terima kasih,0.1779,Positif
bagus sayang akses layan ktp kota,0.6705,Positif
respon chat livenya fast respon,0.0,Netral
parah data tulis hubung helpdesk daftar manual helpdesk dihubungin respon niat layan kelas layan itnya parah,-0.6369,Negatif
sulit login aktivasi ulang,-0.3612,Negatif
manfaat mudah simpel ruwet daftar vaksin ruwet ampuuun update baik profesional maaf bintang,0.7964,Positif
bagus,0.4404,Positif
sulit,-0.3612,Negatif
sulit gembar gembor,-0.3612,Negatif
hilang dewe rajelas tenan parah raono balesan err raiso otomatis ribet bajing,-0.5859,Negatif
bantu,0.0,Netral
putar,0.0,Netral
perintah buka kuk masuk iklan mohon baik,0.6369,Positif
update service versi baru wifi free hotspot fungsi imanapun baik,0.8402,Positif
daftar vaksin tutup,0.0,Netral
layan khusus warga kota beda deskripsi helpdesk tera layan vaksinasi kota beda kabupaten,0.4019,Positif
syarat tentu bhs inggris sido,0.0,Netral
akses wifi daftar verifikasi akun akses wifi serasa bohong,0.3612,Positif
urus akta mati ribetnya ampun ulang kali ujung ujung gagal,-0.6124,Negatif
protektif guna masuk daftar login nik usser name angka sesuai identitas pakai orang data pribadi liat asli daftar pakai guna suruh masuk nik muncul identitas oramg hadeuhhhh,0.3818,Positif
login wifi bisaaa,0.0,Netral
maksimal,0.0,Netral
diupgrade buka hapus manfaat habis kuota,0.0258,Netral
registrasi pagi siang proses,0.0,Netral
layan muas,0.0,Netral
notifikasi ganggu suaranyaa sebal pas kumpul kerja miting malu tambah notifnya hilang,-0.891,Negatif
pakai jaring cepat muat lambat baik,0.0,Netral
integrasi sub sistem terima kasih,0.3612,Positif
login sulit daftar langsung hubung service help desk,0.0516,Positif
login bisaaaa,0.0,Netral
layan daftar online jam kerja jam lebih tolak nek malas golek penak rasah kerjo sis wae turu wae ning omah penak,-0.3612,Negatif
free hotspot login,0.5106,Positif
lamban,-0.4019,Negatif
gagal proses sulit,-0.7003,Negatif
buka alas baik,0.4404,Positif
bagus acu,0.4404,Positif
sevice cctv akses,0.0,Netral
bagus cari sedia layan hosting nama down user akses,0.4404,Positif
install reviewnya beres,0.0,Netral
login,0.0,Netral
bagus komunikatif,0.4404,Positif
bol balen nglebokke nik sesuai prosedur gagal masuk uninstall teh moga baik semangat ikhlas layan masyarakat nggih,-0.3818,Negatif
operasi upgrade service,0.0,Netral
daftar tombol daftar ridak scroll mohon baik terima kasih,-0.2187,Negatif
update mandek tengah jalan alhasil macet,-0.25,Negatif
masuk registrasi banget,0.0,Netral
balas pesan adu akses terang warga kota jogjakarta data daftar ktp kota mohon baik,0.7964,Positif
mohon akses cctv buka guna maksimal terima manfaat,0.6486,Positif
klik,0.0,Netral
inovasi,0.0,Netral
pas ngeseks wifi suruh login login akun service log out baik,0.4404,Positif
prek error error tunggu as buh gimama indonesia maju,-0.5267,Negatif
fitur bingung loading,-0.3182,Negatif
ribet login,0.0,Netral
pbb,0.0,Netral
mhin tingkat,0.0,Netral
untuk developer service good tampil simpel mudah erti fungsional isi formulir alih browser nomor adu tera respon,0.7269,Positif
rusak warga kecewa niat pngen online error ujung balkot urus manual,-0.8271,Negatif
masuk akun password upload identitas piye,0.0,Netral
bagus diupdate error,0.0516,Positif
tipu biar cepat habis kuwota download brooo,0.0,Netral
good,0.4404,Positif
presensi jalan krg lancar ganggu,0.0,Netral
pakai android redmi note pro fitur daftar vaksinasi akses masuk smartphone,0.0,Netral
daftar,0.0,Netral
pakai lihat pajek bangun,0.0,Netral
dandan,0.0,Netral
verifikasi lamaaaaaaaaaaaa,0.0,Netral
akses perlu jam kantor,0.0,Netral
proses daftar rumit ribet swafoto swavideo ktp niat mudah rumit proses verifikasi kominfo makan,0.4404,Positif
perintah layan kominfo fast mohon maaf daftar verifikasi tim kominfo mohon baik kerja layan masyarakat,0.4767,Positif
habis update akses mohon baik web akses,0.6369,Positif
stabil lelet,0.296,Positif
bagus simpel niat canggih emosi masal orang mudah paham aplikai selamat kerja keras sanggup silah mundur biar ganti,0.9081,Positif
sempurna,0.0,Netral
hebat layan publik dukcapil kota ganti ktp rusak service butuh makan gaji buta banding ganti ktp rusak drivetrue butuh menit service dibutukan jam layan proses aju,-0.5859,Negatif
status propil ketua rt warga registrasi ulang hasil,0.0,Netral
daftar free hotspot sulit download sertifikat personal pas ekstrak masuk pass akun service salah pass akun,-0.3182,Negatif
aktivasi ulang,0.0,Netral
gagal sambung wifi,-0.5106,Negatif
pakai,0.0,Netral
angel catphe masuk camat lurah akses sulit jare fasilitas warga kota iso sinyal sek jebak arep login ura iso,-0.5859,Negatif
bantu jjs hotspot dipakek otak atik hasil,0.4019,Positif
pakai error hubung helpdesk wa respon baca istimewa auto delete,0.0,Netral
presensi online test launch terima kasih,0.3612,Positif
xpb,0.0,Netral
registrasi baik developers bug swavideo error,0.0516,Positif
sulit login aah wa klik opsi apa,-0.3612,Negatif
login wifi,0.0,Netral
login ribett lamaa,0.0,Netral
cctv buka paket lancar jaya murni,0.0,Netral
sulit login daftar vaksin,-0.3612,Negatif
didownload,0.0,Netral
ribet enak langsung kecamata selesai,0.5719,Positif
daftar terang ktp daftar ktp perintah,0.4404,Positif
notifnya kaget,-0.3182,Negatif
dishub layan angkut,0.0,Netral
sulit sinyal,-0.3612,Negatif
bagus manfaat layan tingkat pilih font huruf opsi pilih huruf bagus betah kunjung mari tambah mode gelap mantap,0.8126,Positif
cctv play error cctv pantau sikon jalan,-0.0772,Negatif
update baru juni lot daftar antri puskesmas mental halaman beranda upload bpjs mohon benah maturnuwun,0.3182,Positif
fitur live chat service respon cepat kadang respon bingung balas chat bot admin live chat service sumber daya manusia diskominfosan masyarakat,-0.3182,Negatif
pegawai suruh update service,0.0,Netral
wifi akses internet,0.0,Netral
astaghfirulloh log susah ampun,0.2263,Positif
oke coba,0.296,Positif
layan online beranta urus ribetnya ampun admin wa slow respon cari pegawai kompeten,0.5574,Positif
mohon sempurna fitur absensi otomatis baru jalan dihp sekolah kemarin info salah pegawai dinas didik coba jalan triamakasih,0.4404,Positif
banget pakai,0.0,Netral
respon lambat troubel,0.1779,Positif
error absen update kemarin,-0.5994,Negatif
gabti foto browser,0.0,Netral
regrestasi lambat,0.0,Netral
trouble,-0.4574,Negatif
log segi login bagus beda wifi akurat log sering gagal pakai data log mohon tinjau ulang akses,0.34,Positif
maaf pegawai jam kerja shift masuk sore jam pulang jeda spaleng absen jadwal trouble absen mohon benah pegawai rugi wajib penuh jam kerja,-0.4019,Negatif
erroorr terooss sialllll,0.0,Netral
mohon maaf pencet apa menu mohon bantu,0.7184,Positif
cctv area piyungan timur arah wonsa,0.0,Netral
registrasi mudah vermuk kamera jelek sulit daftar,-0.4404,Negatif
masuk pusing pakai,0.0,Netral
judul mudah masyarakat oleh layan layan sedia perintah kota fakta aju tanggap balas mudah darimananya,0.7003,Positif
fitur cctv,0.0,Netral
profesional,0.0,Netral
widget presensi online biar langsung akses home screen tampil home berat hp kentang lot terima kasih karyawanpemkot,0.3612,Positif
,0.0,Netral
lapor,0.0,Netral
ganti nomor hp aneh,-0.128,Negatif
isi konten operasi kosong harap service bantu butuh terima kasih,0.6908,Positif
urus pindah ktp sulit arah niate online ora efektif,0.743,Positif
baik sambung wifi buka situs situs main youtube sulit,0.1027,Positif
maaf masang jarang buka masuk sulit daftar,0.2047,Positif
sulit,-0.3612,Negatif
bagus,0.4404,Positif
ras vaksin banyak nik adil datang warga datang wisata didik kembang,0.3182,Positif
buka blank baik,0.4404,Positif
berita service,0.0,Netral
bantu lengkap,0.4019,Positif
bantu manfaat masyarakat asn,0.6908,Positif
bagus,0.4404,Positif
bantu lancar lag iklan pokoe,0.0772,Positif
mantap bantu kasih saran sudut jalan rawan jahat pasang cctv kota desa termpantau monitor langsung tahu polisi bantu criminal lari pantau posisi,-0.5267,Negatif
bantu masyarakat,0.4019,Positif
cepat tangan,0.4939,Positif
oke,0.296,Positif
mantap all one,0.0,Netral
lancar akses service,0.0,Netral
mudah warga akses informasi,0.4404,Positif
bagus,0.4404,Positif
bantu mantap,0.4019,Positif
cocok warga,0.0,Netral
alhamdulillah mudah kerja pegawai warga kota kendala presensi,0.4404,Positif
mantap manfaat,0.3818,Positif
manfaat,0.3818,Positif
bantu pantau anak,0.4019,Positif
bagus,0.4404,Positif
bantu masyarakat asn lingkung kota layan,0.4019,Positif
mudah,0.4404,Positif
mantap,0.0,Netral
keren mudah cepat tambah informasi,0.6369,Positif
tingkat layan prima warga kota,0.0,Netral
inovasi bantu,0.3818,Positif
bagus,0.4404,Positif
manfaat tingkat,0.4588,Positif
bantu,0.0,Netral
manfaat martabat,0.6908,Positif
warga info,0.0,Netral
mantul,0.0,Netral
isi layan perintah kota layan integrasi service,0.0,Netral
sip,0.0,Netral
mantap bantu,0.0,Netral
mudah aktivitas kerja,0.4404,Positif
sip,0.0,Netral
lengkap cepat mudah info kini akses masyarakat lalu moga kembang,0.6369,Positif
bantu orang tua warga,0.4019,Positif
bagus,0.4404,Positif
bagus,0.4404,Positif
mantap,0.0,Netral
top,0.2023,Positif
moga tingkat cepat loadingnya ringan gadget,0.4404,Positif
manfaat bantu masyarakat akses menu lengkap,0.5859,Positif
bantu warga kota,0.4019,Positif
lambat pakai kuota wifi,0.0,Netral
ragu profesional lupa bahagia,0.1027,Positif
manfaat keren,0.5994,Positif
bagus bantu mudah layan perintah,0.8176,Positif
bagus,0.4404,Positif
love,0.0,Netral
sip,0.0,Netral
mudah layan,0.4404,Positif
mantap bos,0.0,Netral
bagus manfaat,0.7003,Positif
oke,0.296,Positif
habis up date sambung notifkasi henti tunggu lapor,-0.296,Negatif
bantu urus urus duduk pakai ruang simpan hp,0.4019,Positif
bagus,0.4404,Positif
mudah moga upgrade fitur baik,0.7003,Positif
top,0.2023,Positif
info lengkap,0.0,Netral
coba install bagus warga,0.4404,Positif
mudah nyaman,0.6908,Positif
mudah layan internal pegawai perintah kota layan publik masyarakat user interface friendly user,0.7269,Positif
mantap,0.0,Netral
tingkat layan masyarakat simpel mudah mtr nwn,0.4404,Positif
mantap bagus,0.4404,Positif
praktis sampai keluh meresponnya cepat,-0.296,Negatif
manfaat masyarakat kota,0.3818,Positif
cepat manfaat,0.3818,Positif
cctv area sleman tempel,0.0,Netral
bantu,0.0,Netral
bagus bantu warga warga kota bangga service,0.8271,Positif
manfaat,0.3818,Positif
alhamdulillah lumayan,0.431,Positif
lumayan bantu,0.4754,Positif
butuh info masuk ptn pts,0.0,Netral
optimal,0.3612,Positif
mantap layan mudah,0.4404,Positif
buka service cepat,0.0,Netral
manfaat klik layan dukcapil khusus buat akta klik sambung webnya hp masalah mohon cerah,0.6249,Positif
bagus,0.4404,Positif
lancar oke,0.2263,Positif
nenek ayah lahir tinggal ktp baca warga kota apkikasinya salah data dukcapilnya salah mohon jasa terima kasih,-0.34,Negatif
presensi hilang jeh,-0.296,Negatif
jogjaku istimewa,0.4019,Positif
bagus layan masyarakat,0.4404,Positif
bagus informatif,0.4404,Positif
sempurna,0.0,Netral
unggah foto ktp daftar kartu kuning piye mohon terima kasih,0.5859,Positif
vaksin,0.0,Netral
sip,0.0,Netral
wait,0.0,Netral
bagus,0.4404,Positif
,0.0,Netral
tobat aplikasine mara mumet,0.0,Netral
info cepat info darurat sedia,-0.0258,Netral
mudah akses komunikasi orang,0.4404,Positif
bagus,0.4404,Positif
,0.0,Netral
sulit gabung,-0.0772,Negatif
absen kantor,0.0,Netral
bantu rusa,0.4019,Positif
bagus,0.4404,Positif
lancar,0.0,Netral
good,0.4404,Positif
bantu service,0.4019,Positif
bagus,0.4404,Positif
layan surat antar versi daftar warga buat surat antar bantu warga hp android mohon perhati,0.5574,Positif
keren kerja cepat,0.3182,Positif
muas,0.0,Netral
bagus mantap good job,0.7003,Positif
sip,0.0,Netral
moga ribet biar menggatikan data pishik bismillah mugo iso gunakr,0.0,Netral
serasa gengaman,0.3612,Positif
mantap,0.0,Netral
mantap,0.0,Netral
bagus,0.4404,Positif
perintah kota best,0.6369,Positif
bagus,0.4404,Positif
maju jogjakita,0.0,Netral
jossss,0.0,Netral
bagus,0.4404,Positif
manfaat,0.3818,Positif
nice,0.4215,Positif
good,0.4404,Positif
kota istimewa,0.4019,Positif
moga guna sambung lidah rakyat,0.0,Netral
bantu,0.0,Netral
good,0.4404,Positif
service,0.0,Netral
mudah,0.4404,Positif
,0.0,Netral
mantap tingkat,0.0,Netral
moga kota maju,0.4404,Positif
kota bagus penataanya wilayah malioboro,0.4215,Positif
bagus,0.4404,Positif
klk lihat cctv gogle,0.0,Netral
maaf layan antri rs pratama akses,-0.0772,Negatif
bagus,0.4404,Positif
service mudah informasi layan butuh masyarakat,0.4404,Positif
bagus moga manfaat warga,0.7096,Positif
genggam maju kota,0.0,Netral
bantu buat akta kia,-0.3612,Negatif
kota maju city,0.0,Netral
bagus mantap informatif manfaat,0.2263,Positif
mudah sistem layan pegawai masyarakat,0.2263,Positif
pakai laksana kerja hari kota,0.2263,Positif
sip update cari bug biar jossss,0.2263,Positif
terima kasih,0.2263,Positif
bagus,0.2263,Positif
integrasi layan,0.2263,Positif
mantap coy,0.2263,Positif
bagus,0.2263,Positif
manfaat bantu layan masyarakat pegawai,0.2263,Positif
latih disiplin,0.2263,Positif
keren,0.2263,Positif
maaf senin juni presensi online tampil halaman presensi online opsi masuk klarifikasi presensi online bukti masuk kerja aku,0.2263,Positif
mantul,0.2263,Positif
sfh,0.2263,Positif
mantap,0.2263,Positif
tingkat,0.2263,Positif
layan ramah cepat tempat nyaman anak friendly ngprint dokumen sndri layan wifi gratis mantap,0.2263,Positif
service mudah layan pablik kir uji emisi kendara layan duduk adu jajan pokok service oke,0.2263,Positif
good,0.2263,Positif
penuh juang sabar,0.2263,Positif
mudah urus duduk,0.2263,Positif
mantap manfaat masyarakat kota,0.2263,Positif
service bantu warga urus ktp akta lahir nyaman warga mohon kembang,0.2263,Positif
bagus bantu kendala pengguan,0.2263,Positif
mantap tingkat,0.2263,Positif
service layan pegawai masyarakat kota mudah matur nuwun,0.2263,Positif
akte lahir masuk anak surat antar rt rw,0.2263,Positif
manfaat lengkap moga depan oke,0.2263,Positif
,0.0,Netral
layan,0.2263,Positif
mantaapp sesuai nama service moga baik sistem,0.2263,Positif
apik,0.2263,Positif
mantul fast respon,0.2263,Positif
bagus tambah stasiun tv adi tv tv kresna tv stasiun televisi,0.2263,Positif
tulis muyer muyer download,0.2263,Positif
sip,0.2263,Positif
sulit buka,0.2263,Positif
cepat tanggap,0.2263,Positif
bantu,0.2263,Positif
cctv lancar mantap mantau,0.2263,Positif
bantu usefulllll,0.2263,Positif
keren,0.2263,Positif
manfaat masyarakat kota,0.2263,Positif
apik tenan,0.2263,Positif
apik neh nek hp jadul yo iso lancar mesakke pinisepuh sing hp kalah karo anak putune,0.2263,Positif
cctv sulit buka,0.2263,Positif
bantu mudah masyarakat urus,0.2263,Positif
tangan cepat tingkat biar,0.2263,Positif
bantu,0.2263,Positif
bagus bantu,0.2263,Positif
baik,0.2263,Positif
login wifi free hospotnya,0.2263,Positif
manfaat,0.2263,Positif
bantu mudah layan publik perintah kota yk,0.2263,Positif
bagus,0.2263,Positif
bagus,0.2263,Positif
manfaat service moga tambah fiturnya,0.2263,Positif
top,0.2263,Positif
info daftar vaksin terang dosis bingung terima kasih,0.2263,Positif
bantu warga kota,0.2263,Positif
manfaat,0.2263,Positif
semangat,0.2263,Positif
mudah operasi,0.2263,Positif
oke bantu,0.2263,Positif
canggih jaya,0.2263,Positif
manfaat warga pegawai,0.2263,Positif
mantabs service layan stabil dalam tampil oke semangat teman teman moga manfaat masyarakat kota,0.2263,Positif
lumayan enteng,0.2263,Positif
menu lapor fungsi data muncul,0.2263,Positif
pintar manfaat,0.2263,Positif
mantap,0.2263,Positif
alhamdllh,0.2263,Positif
bagus sip bingit,0.2263,Positif
layan ramah bantu arah tahan layan,0.2263,Positif
kembang,0.2263,Positif
mantap boshe,0.2263,Positif
keren,0.2263,Positif
manfaat,0.2263,Positif
mantap,0.2263,Positif
butuh tingkat sistem biar akses cepat loading terima kasih,0.2263,Positif
moga bermafaat,0.2263,Positif
josssssh,0.2263,Positif
semog lancar harap,0.2263,Positif
sulit download,0.2263,Positif
bantu masyarakat kota,0.2263,Positif
langsung bintang basa basi proses instalasi aju mohon ambil dokumen jalan lancar kendala mohon ubah online lsg hari cetak mandiri mohon ktp ubah lsg lsg ambil loket mall layan publik balaikota timoho baik aju mohon siap dokumen dukung,0.2263,Positif
mudah bantu,0.2263,Positif
hebat maju cinta,0.2263,Positif
mudah urus,0.2263,Positif
info giat donordarah pesan darah pmi,0.2263,Positif
manfaat komunikatif,0.2263,Positif
manfaat bantu,0.2263,Positif
menu komplit masyarakat mudah akses layan publik top markotop perintah kota,0.2263,Positif
guna sesuai nama service,0.2263,Positif
inovasi bantu fleksibel mantap,0.2263,Positif
bagus,0.2263,Positif
top,0.2263,Positif
tarik informasi oleh,0.2263,Positif
bagus,0.2263,Positif
bantu masyarakat layan duduk,0.2263,Positif
bagus,0.2263,Positif
bagus,0.2263,Positif
guna aplikatif,0.2263,Positif
oke,0.2263,Positif
bantu daftar vaksinasi covid,0.2263,Positif
bagus,0.2263,Positif
maju perintah kota,0.2263,Positif
bantu,0.2263,Positif
mudah kerja,0.2263,Positif
apik,0.2263,Positif
keren,0.2263,Positif
good,0.2263,Positif
bagus bantu,0.2263,Positif
mantap,0.2263,Positif
bantu,0.2263,Positif
akses cepat senjata,0.2263,Positif
bantu warga urus kota,0.2263,Positif
moga manfaat,0.2263,Positif
bantu masyarakat tugas ramah terima kasih,0.2263,Positif
bantu,0.2263,Positif
